,destination,count
0,KDFW,21676
1,KORD,19883
2,VIDP,18214
3,OMDB,16622
4,KLAX,16360
5,KLAS,16033
6,EDDF,15784
7,EGLL,15575
8,KJFK,15459
9,WMKK,15448
10,LFPG,15376
11,LEMD,14591
12,KDEN,14165
13,KSFO,14071
14,YSSY,13992
15,KMIA,13604
16,UUEE,13421
17,VABB,13278
18,EHAM,12353
19,KPHX,12021
20,EDDM,11928
21,KSEA,11690
22,LTBA,11592
23,KBOS,11066
24,RPLL,10981
25,LIRF,10879
26,SBGR,10715
27,YMML,10506
28,CYYZ,10368
29,RCTP,10113
30,VOBL,9866
31,KLGA,9818
32,KIAH,9732
33,KFLL,9574
34,KMSP,9366
35,OTHH,9322
36,LSZH,8817
37,YBBN,8710
38,LTFJ,8642
39,ESSA,8164
40,MMMX,8017
41,KPHL,7809
42,KEWR,7803
43,EKCH,7799
44,RJBB,7735
45,LOWW,7570
46,KHHR,7564
47,EGKK,7514
48,WIII,7502
49,VHHH,7341
50,LFPO,7337
51,KSAN,7133
52,VOMM,7125
53,KIAD,7026
54,NZAA,6982
55,KDTW,6928
56,KCLT,6914
57,EDDT,6799
58,RJTK,6770
59,KDCA,6690
60,KDAL,6600
61,SBSP,6467
62,UUDD,6425
63,LIMC,6358
64,RJTT,6287
65,EDDL,6282
66,LSGG,6267
67,LPPT,6157
68,KSJC,5987
69,UUWW,5779
70,EIDW,5685
71,EGSS,5683
72,KOAK,5654
73,EBMB,5653
74,YPPH,5495
75,CYVR,5386
76,EFHK,5364
77,KLDJ,5161
78,KSTL,4934
79,KSNA,4929
80,KRDU,4859
81,KBWI,4745
82,RJFF,4669
83,LEBL,4664
84,EDDH,4643
85,EGCC,4398
86,KIND,4272
87,OMAA,4258
88,SBBR,4177
89,LIML,4042
90,KTEB,3975
91,EPWA,3963
92,KHOU,3952
93,EGGW,3902
94,KMDW,3831
95,OBBI,3828
96,KPDX,3766
97,PANC,3705
98,LKPR,3669
99,KAPA,3668
