index,destination,month,count
0,KDFW,2019-11-01,27317
1,KORD,2019-11-01,35430
2,VIDP,2019-11-01,17968
3,OMDB,2019-11-01,15668
4,KLAX,2019-11-01,23428
5,KLAS,2019-11-01,20095
6,EDDF,2019-11-01,16158
7,EGLL,2019-11-01,18501
8,KJFK,2019-11-01,16962
9,WMKK,2019-11-01,16585
10,LFPG,2019-11-01,17464
11,LEMD,2019-11-01,15570
12,KDEN,2019-11-01,9565
13,KSFO,2019-11-01,17546
14,YSSY,2019-11-01,14263
15,KMIA,2019-11-01,13256
16,UUEE,2019-11-01,14332
17,VABB,2019-11-01,11176
18,EHAM,2019-11-01,15142
19,KPHX,2019-11-01,17487
20,EDDM,2019-11-01,14197
21,KSEA,2019-11-01,16220
22,LTBA,2019-11-01,747
23,KBOS,2019-11-01,15988
24,RPLL,2019-11-01,10283
25,LIRF,2019-11-01,10879
26,SBGR,2019-11-01,8170
27,YMML,2019-11-01,10048
28,CYYZ,2019-11-01,14595
29,RCTP,2019-11-01,9028
30,VOBL,2019-11-01,9205
31,KLGA,2019-11-01,14108
32,KIAH,2019-11-01,17565
33,KFLL,2019-11-01,9873
34,KMSP,2019-11-01,12329
35,OTHH,2019-11-01,9252
36,LSZH,2019-11-01,8888
37,YBBN,2019-11-01,8804
38,LTFJ,2019-11-01,9294
39,ESSA,2019-11-01,8407
41,KPHL,2019-11-01,14908
42,KEWR,2019-11-01,18824
43,EKCH,2019-11-01,9149
44,RJBB,2019-11-01,7967
45,LOWW,2019-11-01,9490
46,KHHR,2019-11-01,4348
47,EGKK,2019-11-01,8820
49,VHHH,2019-11-01,16088
50,LFPO,2019-11-01,6591
51,KSAN,2019-11-01,8903
52,VOMM,2019-11-01,6641
53,KIAD,2019-11-01,11401
54,NZAA,2019-11-01,7134
55,KDTW,2019-11-01,63
56,KCLT,2019-11-01,9609
57,EDDT,2019-11-01,6605
58,RJTK,2019-11-01,10543
59,KDCA,2019-11-01,11324
60,KDAL,2019-11-01,9231
61,SBSP,2019-11-01,6131
62,UUDD,2019-11-01,6765
63,LIMC,2019-11-01,6789
64,RJTT,2019-11-01,4157
65,EDDL,2019-11-01,6694
66,LSGG,2019-11-01,5673
67,LPPT,2019-11-01,3253
68,KSJC,2019-11-01,7680
69,UUWW,2019-11-01,6041
70,EIDW,2019-11-01,8034
71,EGSS,2019-11-01,6616
72,KOAK,2019-11-01,7333
73,EBMB,2019-11-01,4305
74,YPPH,2019-11-01,5412
75,CYVR,2019-11-01,8167
76,EFHK,2019-11-01,6886
77,KLDJ,2019-11-01,457
78,KSTL,2019-11-01,7370
79,KSNA,2019-11-01,7099
80,KRDU,2019-11-01,7986
81,KBWI,2019-11-01,9908
82,RJFF,2019-11-01,5031
83,LEBL,2019-11-01,6444
84,EDDH,2019-11-01,5132
85,EGCC,2019-11-01,5466
86,KIND,2019-11-01,7604
87,OMAA,2019-11-01,2029
88,SBBR,2019-11-01,4348
89,LIML,2019-11-01,4296
90,KTEB,2019-11-01,6940
91,EPWA,2019-11-01,5110
92,KHOU,2019-11-01,7326
93,EGGW,2019-11-01,4477
94,KMDW,2019-11-01,8680
95,OBBI,2019-11-01,3738
96,KPDX,2019-11-01,6039
97,PANC,2019-11-01,6234
98,LKPR,2019-11-01,3413
99,KAPA,2019-11-01,4653
