destination,month,count
KDFW,2021-04-01T00:00:00.000+02:00,23423
KORD,2021-04-01T00:00:00.000+02:00,22836
VIDP,2021-04-01T00:00:00.000+02:00,12424
OMDB,2021-04-01T00:00:00.000+02:00,7978
KLAX,2021-04-01T00:00:00.000+02:00,16761
KLAS,2021-04-01T00:00:00.000+02:00,15346
EDDF,2021-04-01T00:00:00.000+02:00,7457
EGLL,2021-04-01T00:00:00.000+02:00,5080
KJFK,2021-04-01T00:00:00.000+02:00,10124
WMKK,2021-04-01T00:00:00.000+02:00,2475
LFPG,2021-04-01T00:00:00.000+02:00,6604
LEMD,2021-04-01T00:00:00.000+02:00,5833
KDEN,2021-04-01T00:00:00.000+02:00,18770
KSFO,2021-04-01T00:00:00.000+02:00,8741
YSSY,2021-04-01T00:00:00.000+02:00,9578
KMIA,2021-04-01T00:00:00.000+02:00,15897
UUEE,2021-04-01T00:00:00.000+02:00,7876
VABB,2021-04-01T00:00:00.000+02:00,6484
EHAM,2021-04-01T00:00:00.000+02:00,6845
KPHX,2021-04-01T00:00:00.000+02:00,16497
EDDM,2021-04-01T00:00:00.000+02:00,3059
KSEA,2021-04-01T00:00:00.000+02:00,14568
LTBA,2021-04-01T00:00:00.000+02:00,1538
KBOS,2021-04-01T00:00:00.000+02:00,8633
RPLL,2021-04-01T00:00:00.000+02:00,1266
LIRF,2021-04-01T00:00:00.000+02:00,3051
SBGR,2021-04-01T00:00:00.000+02:00,4173
YMML,2021-04-01T00:00:00.000+02:00,6885
CYYZ,2021-04-01T00:00:00.000+02:00,3564
RCTP,2021-04-01T00:00:00.000+02:00,3747
VOBL,2021-04-01T00:00:00.000+02:00,5931
KLGA,2021-04-01T00:00:00.000+02:00,5440
KIAH,2021-04-01T00:00:00.000+02:00,152
KFLL,2021-04-01T00:00:00.000+02:00,11596
KMSP,2021-04-01T00:00:00.000+02:00,11615
OTHH,2021-04-01T00:00:00.000+02:00,6067
LSZH,2021-04-01T00:00:00.000+02:00,2911
YBBN,2021-04-01T00:00:00.000+02:00,5914
LTFJ,2021-04-01T00:00:00.000+02:00,5732
ESSA,2021-04-01T00:00:00.000+02:00,2099
MMMX,2021-04-01T00:00:00.000+02:00,10
KPHL,2021-04-01T00:00:00.000+02:00,9298
KEWR,2021-04-01T00:00:00.000+02:00,9978
EKCH,2021-04-01T00:00:00.000+02:00,1948
RJBB,2021-04-01T00:00:00.000+02:00,2245
LOWW,2021-04-01T00:00:00.000+02:00,2819
KHHR,2021-04-01T00:00:00.000+02:00,1844
EGKK,2021-04-01T00:00:00.000+02:00,436
WIII,2021-04-01T00:00:00.000+02:00,358
VHHH,2021-04-01T00:00:00.000+02:00,5317
LFPO,2021-04-01T00:00:00.000+02:00,2074
KSAN,2021-04-01T00:00:00.000+02:00,5907
VOMM,2021-04-01T00:00:00.000+02:00,4054
KIAD,2021-04-01T00:00:00.000+02:00,8073
NZAA,2021-04-01T00:00:00.000+02:00,3743
KDTW,2021-04-01T00:00:00.000+02:00,10656
KCLT,2021-04-01T00:00:00.000+02:00,22326
EDDT,2021-04-01T00:00:00.000+02:00,77
RJTK,2021-04-01T00:00:00.000+02:00,44
KDCA,2021-04-01T00:00:00.000+02:00,6234
KDAL,2021-04-01T00:00:00.000+02:00,8651
SBSP,2021-04-01T00:00:00.000+02:00,1683
UUDD,2021-04-01T00:00:00.000+02:00,5564
LIMC,2021-04-01T00:00:00.000+02:00,3120
RJTT,2021-04-01T00:00:00.000+02:00,11153
EDDL,2021-04-01T00:00:00.000+02:00,1728
LSGG,2021-04-01T00:00:00.000+02:00,2292
LPPT,2021-04-01T00:00:00.000+02:00,2366
KSJC,2021-04-01T00:00:00.000+02:00,4494
UUWW,2021-04-01T00:00:00.000+02:00,5644
EIDW,2021-04-01T00:00:00.000+02:00,1518
EGSS,2021-04-01T00:00:00.000+02:00,1394
KOAK,2021-04-01T00:00:00.000+02:00,5721
EBMB,2021-04-01T00:00:00.000+02:00,532
YPPH,2021-04-01T00:00:00.000+02:00,4652
CYVR,2021-04-01T00:00:00.000+02:00,3027
EFHK,2021-04-01T00:00:00.000+02:00,1381
KLDJ,2021-04-01T00:00:00.000+02:00,470
KSTL,2021-04-01T00:00:00.000+02:00,4771
KSNA,2021-04-01T00:00:00.000+02:00,7190
KRDU,2021-04-01T00:00:00.000+02:00,6028
KBWI,2021-04-01T00:00:00.000+02:00,8113
RJFF,2021-04-01T00:00:00.000+02:00,3012
LEBL,2021-04-01T00:00:00.000+02:00,2958
EDDH,2021-04-01T00:00:00.000+02:00,1453
EGCC,2021-04-01T00:00:00.000+02:00,895
KIND,2021-04-01T00:00:00.000+02:00,6972
OMAA,2021-04-01T00:00:00.000+02:00,27
SBBR,2021-04-01T00:00:00.000+02:00,1598
LIML,2021-04-01T00:00:00.000+02:00,1771
KTEB,2021-04-01T00:00:00.000+02:00,5244
EPWA,2021-04-01T00:00:00.000+02:00,2189
KHOU,2021-04-01T00:00:00.000+02:00,3717
EGGW,2021-04-01T00:00:00.000+02:00,1189
KMDW,2021-04-01T00:00:00.000+02:00,6828
OBBI,2021-04-01T00:00:00.000+02:00,1527
KPDX,2021-04-01T00:00:00.000+02:00,6286
PANC,2021-04-01T00:00:00.000+02:00,6424
LKPR,2021-04-01T00:00:00.000+02:00,1141
KAPA,2021-04-01T00:00:00.000+02:00,5402
